Number,Name,Type,Power,Acc.,PP,Effect
1,Absorb,Grass,20,100,25,User recovers half the HP inflicted on opponent.
2,Acid,Poison,40,100,30,May lower opponent's Special Defense.
3,Acid Armor,Poison,???,???,20,Sharply raises user's Defense.
4,Agility,Psychic,???,???,30,Sharply raises user's Speed.
5,Amnesia,Psychic,???,???,20,Sharply raises user's Special Defense.
6,Aurora Beam,Ice,65,100,20,May lower opponent's Attack.
7,Barrage,Normal,15,85,20,Hits 2-5 times in one turn.
8,Barrier,Psychic,???,???,20,Sharply raises user's Defense.
9,Bide,Normal,???,???,10,User takes damage for two turns then strikes back double.
10,Bind,Normal,15,85,20,"Traps opponent, damaging them for 4-5 turns."
11,Bite,Dark,60,100,25,May cause flinching.
12,Blizzard,Ice,110,70,5,May freeze opponent.
13,Body Slam,Normal,85,100,15,May paralyze opponent.
14,Bone Club,Ground,65,85,20,May cause flinching.
15,Bonemerang,Ground,50,90,10,Hits twice in one turn.
16,Bubble,Water,40,100,30,May lower opponent's Speed.
17,Bubble Beam,Water,65,100,20,May lower opponent's Speed.
18,Clamp,Water,35,85,10,"Traps opponent, damaging them for 4-5 turns."
19,Comet Punch,Normal,18,85,15,Hits 2-5 times in one turn.
20,Confuse Ray,Ghost,???,100,10,Confuses opponent.
21,Confusion,Psychic,50,100,25,May confuse opponent.
22,Constrict,Normal,10,100,35,May lower opponent's Speed by one stage.
23,Conversion,Normal,???,???,30,Changes user's type to that of its first move.
24,Counter,Fighting,???,100,20,"When hit by a Physical Attack, user strikes back with 2x power."
25,Crabhammer,Water,100,90,10,High critical hit ratio.
26,Cut,Normal,50,95,30,???
27,Defense Curl,Normal,???,???,40,Raises user's Defense.
28,Dig,Ground,80,100,10,"Digs underground on first turn, attacks on second. Can also escape from caves."
29,Disable,Normal,???,100,20,Opponent can't use its last attack for a few turns.
30,Dizzy Punch,Normal,70,100,10,May confuse opponent.
31,Double Kick,Fighting,30,100,30,Hits twice in one turn.
32,Double Slap,Normal,15,85,10,Hits 2-5 times in one turn.
33,Double Team,Normal,???,???,15,Raises user's Evasiveness.
34,Double-Edge,Normal,120,100,15,User receives recoil damage.
35,Dragon Rage,Dragon,???,100,10,Always inflicts 40 HP.
36,Dream Eater,Psychic,100,100,15,User recovers half the HP inflicted on a sleeping opponent.
37,Drill Peck,Flying,80,100,20,
38,Earthquake,Ground,100,100,10,Power is doubled if opponent is underground from using Dig.
39,Egg Bomb,Normal,100,75,10,???
40,Ember,Fire,40,100,25,May burn opponent.
41,Explosion,Normal,250,100,5,User faints.
42,Fire Blast,Fire,110,85,5,May burn opponent.
43,Fire Punch,Fire,75,100,15,May burn opponent.
44,Fire Spin,Fire,35,85,15,"Traps opponent, damaging them for 4-5 turns."
45,Fissure,Ground,???,???,5,"One-Hit-KO, if it hits."
46,Flamethrower,Fire,90,100,15,May burn opponent.
47,Flash,Normal,???,100,20,Lowers opponent's Accuracy.
48,Fly,Flying,90,95,15,"Flies up on first turn, attacks on second turn."
49,Focus Energy,Normal,???,???,30,Increases critical hit ratio.
50,Fury Attack,Normal,15,85,20,Hits 2-5 times in one turn.
51,Fury Swipes,Normal,18,80,15,Hits 2-5 times in one turn.
52,Glare,Normal,???,100,30,Paralyzes opponent.
53,Growl,Normal,???,100,40,Lowers opponent's Attack.
54,Growth,Normal,???,???,40,Raises user's Attack and Special Attack.
55,Guillotine,Normal,???,???,5,"One-Hit-KO, if it hits."
56,Gust,Flying,40,100,35,Hits Pok‚mon using Fly/Bounce with double power.
57,Harden,Normal,???,???,30,Raises user's Defense.
58,Haze,Ice,???,???,30,Resets all stat changes.
59,Headbutt,Normal,70,100,15,May cause flinching.
60,High Jump Kick,Fighting,130,90,10,"If it misses, the user loses half their HP."
61,Horn Attack,Normal,65,100,25,???
62,Horn Drill,Normal,???,???,5,"One-Hit-KO, if it hits."
63,Hydro Pump,Water,110,80,5,???
64,Hyper Beam,Normal,150,90,5,User must recharge next turn.
65,Hyper Fang,Normal,80,90,15,May cause flinching.
66,Hypnosis,Psychic,???,60,20,Puts opponent to sleep.
67,Ice Beam,Ice,90,100,10,May freeze opponent.
68,Ice Punch,Ice,75,100,15,May freeze opponent.
69,Jump Kick,Fighting,100,95,10,"If it misses, the user loses half their HP."
70,Karate Chop,Fighting,50,100,25,High critical hit ratio.
71,Kinesis,Psychic,???,80,15,Lowers opponent's Accuracy.
72,Leech Life,Bug,80,100,10,User recovers half the HP inflicted on opponent.
73,Leech Seed,Grass,???,90,10,User steals HP from opponent each turn.
74,Leer,Normal,???,100,30,Lowers opponent's Defense.
75,Lick,Ghost,30,100,30,May paralyze opponent.
76,Light Screen,Psychic,???,???,30,Halves damage from Special attacks for 5 turns.
77,Lovely Kiss,Normal,???,75,10,Puts opponent to sleep.
78,Low Kick,Fighting,???,100,20,"The heavier the opponent, the stronger the attack."
79,Meditate,Psychic,???,???,40,Raises user's Attack.
80,Mega Drain,Grass,40,100,15,User recovers half the HP inflicted on opponent.
81,Mega Kick,Normal,120,75,5,???
82,Mega Punch,Normal,80,85,20,???
83,Metronome,Normal,???,???,10,User performs any move in the game at random.
84,Mimic,Normal,???,???,10,Copies the opponent's last move.
85,Minimize,Normal,???,???,10,Sharply raises user's Evasiveness.
86,Mirror Move,Flying,???,???,20,User performs the opponent's last move.
87,Mist,Ice,???,???,30,User's stats cannot be changed for a period of time.
88,Night Shade,Ghost,???,100,15,Inflicts damage equal to user's level.
89,Pay Day,Normal,40,100,20,A small amount of money is gained after the battle resolves.
90,Peck,Flying,35,100,35,???
91,Petal Dance,Grass,120,100,10,User attacks for 2-3 turns but then becomes confused.
92,Pin Missile,Bug,25,95,20,Hits 2-5 times in one turn.
93,Poison Gas,Poison,???,90,40,Poisons opponent.
94,Poison Powder,Poison,???,75,35,Poisons opponent.
95,Poison Sting,Poison,15,100,35,May poison the opponent.
96,Pound,Normal,40,100,35,???
97,Psybeam,Psychic,65,100,20,May confuse opponent.
98,Psychic,Psychic,90,100,10,May lower opponent's Special Defense.
99,Psywave,Psychic,???,80,15,Inflicts damage 50-150% of user's level.
100,Quick Attack,Normal,40,100,30,User attacks first.
101,Rage,Normal,20,100,20,Raises user's Attack when hit.
102,Razor Leaf,Grass,55,95,25,High critical hit ratio.
103,Razor Wind,Normal,80,100,10,"Charges on first turn, attacks on second. High critical hit ratio."
104,Recover,Normal,???,???,10,User recovers half its max HP.
105,Reflect,Psychic,???,???,20,Halves damage from Physical attacks for 5 turns.
106,Rest,Psychic,???,???,10,"User sleeps for 2 turns, but user is fully healed."
107,Roar,Normal,???,???,20,"In battles, the opponent switches. In the wild, the Pok‚mon runs."
108,Rock Slide,Rock,75,90,10,May cause flinching.
109,Rock Throw,Rock,50,90,15,???
110,Rolling Kick,Fighting,60,85,15,May cause flinching.
111,Sand Attack,Ground,???,100,15,Lowers opponent's Accuracy.
112,Scratch,Normal,40,100,35,???
113,Screech,Normal,???,85,40,Sharply lowers opponent's Defense.
114,Seismic Toss,Fighting,???,100,20,Inflicts damage equal to user's level.
115,Self-Destruct,Normal,200,100,5,User faints.
116,Sharpen,Normal,???,???,30,Raises user's Attack.
117,Sing,Normal,???,55,15,Puts opponent to sleep.
118,Skull Bash,Normal,130,100,10,"Raises Defense on first turn, attacks on second."
119,Sky Attack,Flying,140,90,5,"Charges on first turn, attacks on second. May cause flinching."
120,Slam,Normal,80,75,20,???
121,Slash,Normal,70,100,20,High critical hit ratio.
122,Sleep Powder,Grass,???,75,15,Puts opponent to sleep.
123,Sludge,Poison,65,100,20,May poison opponent.
124,Smog,Poison,30,70,20,May poison opponent.
125,Smokescreen,Normal,???,100,20,Lowers opponent's Accuracy.
126,Soft-Boiled,Normal,???,???,10,User recovers half its max HP.
127,Solar Beam,Grass,120,100,10,"Charges on first turn, attacks on second."
128,Sonic Boom,Normal,???,90,20,Always inflicts 20 HP.
129,Spike Cannon,Normal,20,100,15,Hits 2-5 times in one turn.
130,Splash,Normal,???,???,40,Doesn't do ANYTHING.
131,Spore,Grass,???,100,15,Puts opponent to sleep.
132,Stomp,Normal,65,100,20,May cause flinching.
133,Strength,Normal,80,100,15,???
134,String Shot,Bug,???,95,40,Sharply lowers opponent's Speed.
135,Struggle,Normal,50,100,???,Only usable when all PP are gone. Hurts the user.
136,Stun Spore,Grass,???,75,30,Paralyzes opponent.
137,Submission,Fighting,80,80,20,User receives recoil damage.
138,Substitute,Normal,???,???,10,Uses HP to creates a decoy that takes hits.
139,Super Fang,Normal,???,90,10,Always takes off half of the opponent's HP.
140,Supersonic,Normal,???,55,20,Confuses opponent.
141,Surf,Water,90,100,15,Hits all adjacent Pok‚mon.
142,Swift,Normal,60,???,20,Ignores Accuracy and Evasiveness.
143,Swords Dance,Normal,???,???,20,Sharply raises user's Attack.
144,Tackle,Normal,40,100,35,???
145,Tail Whip,Normal,???,100,30,Lowers opponent's Defense.
146,Take Down,Normal,90,85,20,User receives recoil damage.
147,Teleport,Psychic,???,???,20,Allows user to flee wild battles; also warps player to last Pok‚Center.
148,Thrash,Normal,120,100,10,User attacks for 2-3 turns but then becomes confused.
149,Thunder,Electric,110,70,10,May paralyze opponent.
150,Thunder Punch,Electric,75,100,15,May paralyze opponent.
151,Thunder Shock,Electric,40,100,30,May paralyze opponent.
152,Thunder Wave,Electric,???,90,20,Paralyzes opponent.
153,Thunderbolt,Electric,90,100,15,May paralyze opponent.
154,Toxic,Poison,???,90,10,Badly poisons opponent.
155,Transform,Normal,???,???,10,User takes on the form and attacks of the opponent.
156,Tri Attack,Normal,80,100,10,"May paralyze, burn or freeze opponent."
157,Twineedle,Bug,25,100,20,Hits twice in one turn. May poison opponent.
158,Vice Grip,Normal,55,100,30,???
159,Vine Whip,Grass,45,100,25,???
160,Water Gun,Water,40,100,25,???
161,Waterfall,Water,80,100,15,May cause flinching.
162,Whirlwind,Normal,???,???,20,"In battles, the opponent switches. In the wild, the Pok‚mon runs."
163,Wing Attack,Flying,60,100,35,???
164,Withdraw,Water,???,???,40,Raises user's Defense.
165,Wrap,Normal,15,90,20,"Traps opponent, damaging them for 4-5 turns"
