kdex,name,hp,atk,def,spd,spc,type1,type2
1,BULBASAUR,45,49,49,45,65,Grass,Poison
2,IVYSAUR,60,62,63,60,80,Grass,Poison
3,VENUSAUR,80,82,83,80,100,Grass,Poison
4,CHARMANDER,39,52,43,65,50,Fire,???
5,CHARMELEON,58,64,58,80,65,Fire,???
6,CHARIZARD,78,84,78,100,85,Fire,Flying
7,SQUIRTLE,44,48,65,43,50,Water,???
8,WARTORTLE,59,63,80,58,65,Water,???
9,BLASTOISE,79,83,100,78,85,Water,???
10,CATERPIE,45,30,35,45,20,Bug,???
11,METAPOD,50,20,55,30,25,Bug,???
12,BUTTERFREE,60,45,50,70,80,Bug,Flying
13,WEEDLE,40,35,30,50,20,Bug,Poison
14,KAKUNA,45,25,50,35,25,Bug,Poison
15,BEEDRILL,65,80,40,75,45,Bug,Poison
16,PIDGEY,40,45,40,56,35,Normal,Flying
17,PIDGEOTTO,63,60,55,71,50,Normal,Flying
18,PIDGEOT,83,80,75,91,70,Normal,Flying
19,RATTATA,30,56,35,72,25,Normal,???
20,RATICATE,55,81,60,97,50,Normal,???
21,SPEAROW,40,60,30,70,31,Normal,Flying
22,FEAROW,65,90,65,100,61,Normal,Flying
23,EKANS,35,60,44,55,40,Poison,???
24,ARBOK,60,85,69,80,65,Poison,???
25,PIKACHU,35,55,30,90,50,Electric,???
26,RAICHU,60,90,55,100,90,Electric,???
27,SANDSHREW,50,75,85,40,30,Ground,???
28,SANDSLASH,75,100,110,65,55,Ground,???
29,NIDORAN?,55,47,52,41,40,Poison,???
30,NIDORINA,70,62,67,56,55,Poison,???
31,NIDOQUEEN,90,82,87,76,75,Poison,Ground
32,NIDORAN?,46,57,40,50,40,Poison,???
33,NIDORINO,61,72,57,65,55,Poison,???
34,NIDOKING,81,92,77,85,75,Poison,Ground
35,CLEFAIRY,70,45,48,35,60,Normal,???
36,CLEFABLE,95,70,73,60,85,Normal,???
37,VULPIX,38,41,40,65,65,Fire,???
38,NINETALES,73,76,75,100,100,Fire,???
39,JIGGLYPUFF,115,45,20,20,25,Normal,???
40,WIGGLYTUFF,140,70,45,45,50,Normal,???
41,ZUBAT,40,45,35,55,40,Poison,Flying
42,GOLBAT,75,80,70,90,75,Poison,Flying
43,ODDISH,45,50,55,30,75,Grass,Poison
44,GLOOM,60,65,70,40,85,Grass,Poison
45,VILEPLUME,75,80,85,50,100,Grass,Poison
46,PARAS,35,70,55,25,55,Bug,Grass
47,PARASECT,60,95,80,30,80,Bug,Grass
48,VENONAT,60,55,50,45,40,Bug,Poison
49,VENOMOTH,70,65,60,90,90,Bug,Poison
50,DIGLETT,10,55,25,95,45,Ground,???
51,DUGTRIO,35,80,50,120,70,Ground,???
52,MEOWTH,40,45,35,90,40,Normal,???
53,PERSIAN,65,70,60,115,65,Normal,???
54,PSYDUCK,50,52,48,55,50,Water,???
55,GOLDUCK,80,82,78,85,80,Water,???
